m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,2.070165847487167e-08,-5.197119810327699e-10,1.3279299478682276e-08
0.01,0.01,-1.0613547096911802e-08,-1.5889993265316222e-08,-6.64871178948398e-09
0.02,0.02,-2.7247533164350382e-08,-4.182723714113363e-08,-3.059591839926827e-08
0.03,0.03,-5.679726615120052e-09,-3.036562729578652e-08,-1.0879785274979502e-08
0.04,0.04,-9.918879315312608e-08,-6.747205303631828e-08,-6.691296410783723e-08
0.05,0.05,-5.689418449060817e-10,4.937580701385062e-09,-7.698376178368407e-08
0.06,0.06,-7.956705470374094e-08,-1.3700995738536705e-07,-6.358829277139011e-08
0.07,0.07,-1.3787334756735217e-07,-6.310698143809091e-08,-1.3007345229700123e-07
0.08,0.08,-1.4100690250846935e-07,-1.3640156951261098e-07,-1.417328831280928e-07
0.09,0.09,-2.1602473768486344e-07,-1.6626899653143546e-07,-2.3212444900105134e-07
0.1,0.1,-1.6605612400760142e-07,-2.5149481749799924e-07,-1.7024480243300742e-07
0.11,0.11,-1.6629277103360826e-07,-2.2936807335257232e-07,-1.8720566018882088e-07
0.12,0.12,-1.1671229549055302e-07,-2.0287980263027682e-07,-1.155049581679555e-07
0.13,0.13,-2.5321585383796877e-07,-2.846342976488413e-07,-2.470518731555257e-07
0.14,0.14,-3.0623947930529046e-07,-2.565134803117641e-07,-2.9547709832150396e-07
0.15,0.15,-2.863027073613779e-07,-3.139618965554035e-07,-2.8703399971869697e-07
0.16,0.16,-3.07206907612675e-07,-4.0315197503607076e-07,-3.263427109237356e-07
0.17,0.17,-2.4989024083475843e-07,-2.6311709294876375e-07,-2.847030317334496e-07
0.18,0.18,-4.360340314791876e-07,-2.531157335692913e-07,-4.2935609983904263e-07
0.19,0.19,-1.4647755110041177e-07,-3.0765818778672926e-07,-1.7033907656408489e-07
0.2,0.2,-4.1580638029884e-07,-2.385079475749937e-07,-4.441072636520015e-07
0.21,0.21,-4.827314037393967e-07,-2.555112288411935e-07,-4.769799145082691e-07
0.22,0.22,-3.43841180266446e-07,-5.723884781957325e-07,-3.6438941417184047e-07
0.23,0.23,-4.1131340971162004e-07,-2.9664393035883953e-07,-4.367642807443843e-07
0.24,0.24,-5.331758376631084e-07,-4.2009870554427476e-07,-5.557828495016414e-07
0.25,0.25,-7.878608734270799e-07,-4.94189092462818e-07,-7.952348002184852e-07
0.26,0.26,-7.821073897828788e-07,-3.1431113173533645e-07,-7.838529982424403e-07
0.27,0.27,-8.607552075565462e-07,-4.6310685947699153e-07,-8.554106831098701e-07
0.28,0.28,-1.705724506581671e-06,-2.4956324421087836e-07,-1.713159399202998e-06
0.29,0.29,-6.662385512849038e-07,-3.2556069604062274e-07,-6.640132047739509e-07
0.3,0.3,-1.1796282172103546e-06,-1.0236966347691956e-06,-1.2335999875781699e-06
0.31,0.31,-7.131283345498152e-07,-1.3767835445211562e-06,-7.182792692832207e-07
0.32,0.32,-1.241338431280739e-06,-7.82765027494182e-07,-1.2318711242994089e-06
0.33,0.33,-1.3574469928303059e-06,-7.458662067648444e-07,-1.382008936352866e-06
0.34,0.34,-7.810579347705918e-07,-4.6474522560340506e-07,-8.193179116115523e-07
0.35,0.35,-1.3263758888886857e-06,-1.6223942354139485e-06,-1.3375762091866667e-06
0.36,0.36,-1.3956760669628872e-06,-1.1914500946570498e-06,-1.39109696557816e-06
0.37,0.37,-1.254680414219747e-06,-2.0297153978636654e-06,-1.2564981991516588e-06
0.38,0.38,-1.8726697327061608e-06,-1.5278907407101021e-06,-1.908973913498034e-06
0.39,0.39,-7.488093448098372e-07,-1.4959701582424436e-06,-7.225896949686165e-07
0.4,0.4,-2.462764239031243e-06,-2.5061007499197995e-06,-2.462309193455895e-06
0.41,0.41,-2.2934646365873854e-06,-1.613323289034161e-06,-2.2982652355554985e-06
0.42,0.42,-1.2939629762046e-06,-2.0648925517467808e-06,-1.3260892698326334e-06
0.43,0.43,-1.2843773395204535e-06,-2.777481673514287e-06,-1.3086292043147876e-06
0.44,0.44,-4.469089470255184e-06,-2.8894176516019723e-06,-4.481656842905548e-06
0.45,0.45,-4.483508370080567e-06,-2.238453412000185e-06,-4.5028602289132886e-06
0.46,0.46,-3.0585037813838835e-06,-4.590719117071782e-06,-3.0812967307412024e-06
0.47,0.47,-2.735217036328536e-06,-3.143360331191639e-06,-2.7625610057789983e-06
0.48,0.48,-3.2461714466209767e-06,-2.7148155562566437e-06,-3.2882468267152875e-06
0.49,0.49,-3.0493377683947745e-06,-5.9142301610291884e-06,-3.054567600248294e-06
0.5,0.5,-5.922985500665387e-06,-5.313464156095315e-06,-5.95183555554953e-06
0.51,0.51,-3.0032329397170405e-06,-4.289774729861612e-06,-3.012270861555523e-06
0.52,0.52,-6.8932996241982015e-06,-7.820323919167867e-06,-6.897878138062833e-06
0.53,0.53,-4.265825706921026e-06,-5.1817149430539445e-06,-4.299291806596858e-06
0.54,0.54,-4.712767279791874e-06,-5.706488483366374e-06,-4.726384455452465e-06
0.55,0.55,-5.723949192900398e-06,-4.541826413114022e-06,-5.727263561540739e-06
0.56,0.56,-5.47483187054873e-06,-1.3035810689125976e-05,-5.490746768486426e-06
0.57,0.57,-5.7036541977426614e-06,-8.152778713412349e-06,-5.7407063240676834e-06
0.58,0.58,-1.0372265579104967e-05,-8.526379746253185e-06,-1.0377581872753003e-05
0.59,0.59,-1.6448387803118444e-05,-1.0855376915440513e-05,-1.653900962022413e-05
0.6,0.6,-7.097311735619089e-06,-1.0001982750091347e-05,-7.105044080020855e-06
0.61,0.61,-7.464977141467991e-06,-6.859961595144024e-06,-7.490902308490018e-06
0.62,0.62,-1.4026563714392051e-05,-1.2504785368779695e-05,-1.4063748826193713e-05
0.63,0.63,-1.0966275289618912e-05,-1.4419092029914355e-05,-1.097530832088688e-05
0.64,0.64,-1.1082707916930573e-05,-1.329431822929475e-05,-1.111705713832889e-05
0.65,0.65,-3.6118169710527406e-05,-1.076399914412282e-05,-3.6136792995555954e-05
0.66,0.66,-1.7911602440794738e-05,-1.4748917085891907e-05,-1.792780418263075e-05
0.67,0.67,-1.2667277849091297e-05,-2.145757105820113e-05,-1.2667777636471022e-05
0.68,0.68,-1.7327376858664384e-05,-1.753344023173293e-05,-1.7362914360327515e-05
0.69,0.69,-1.245078285099457e-05,-2.569654427952585e-05,-1.2473262968076055e-05
0.7,0.7,-3.556224776105595e-05,-2.1918095775351906e-05,-3.558251899869351e-05
0.71,0.71,-3.080420134550948e-05,-4.321006512002071e-05,-3.0832345803355364e-05
0.72,0.72,-4.940544042066597e-05,-3.8091620683876236e-05,-4.9416336464841126e-05
0.73,0.73,-2.509214780802281e-05,-3.190748834714775e-05,-2.5125736987644825e-05
0.74,0.74,-3.88535877177252e-05,-6.61429981964868e-05,-3.885171968083709e-05
0.75,0.75,-3.488577430518213e-05,-4.9761162276515176e-05,-3.492091653958549e-05
0.76,0.76,-5.132160826766511e-05,-3.749941165080701e-05,-5.1346329767509814e-05
0.77,0.77,-0.00012148955794402281,-3.6843880009738744e-05,-0.00012150665756933903
0.78,0.78,-0.00026809193191575315,-6.0445112598232206e-05,-0.00026811910118798354
0.79,0.79,-5.4316186972950434e-05,-9.55253271835733e-05,-5.434166522554244e-05
0.8,0.8,-0.00010868836508317186,-9.370537678818258e-05,-0.00010871958456513144
0.81,0.81,-0.00012390344534701564,-0.00013305313133551565,-0.0001239253297678108
0.82,0.82,-0.00016390326326161858,-0.0001925738363277186,-0.00016394002976743302
0.83,0.83,-0.00023916147203406193,-0.0002494919137401619,-0.00023925965782503952
0.84,0.84,-0.00020144808859236742,-0.00023271344167606742,-0.0002014818562070131
0.85,0.85,-0.00015373484143625543,-0.0004038273519626554,-0.0001537618101516939
0.86,0.86,-0.0003503145888062337,-0.0005599330435801337,-0.000350339810027293
0.87,0.87,-0.00022040122895796807,-0.0008522375453459681,-0.00022041103330208955
0.88,0.88,-0.0006083070978621089,-0.0005136311941204089,-0.0006083320331747624
0.89,0.89,-0.0021118258510019134,-0.0005352119041918136,-0.0021118471348901685
0.9,0.9,-0.002628933479185506,-0.000907875874654806,-0.0026289761404890213
0.91,0.91,-0.000884392461337138,-0.005301567074131638,-0.0008844241149329091
0.92,0.92,-0.008676870979998733,-0.038563100808279134,-0.00867690133925381
0.93,0.93,-0.002453517849929597,-0.002853086704017097,-0.00245355391744932
0.94,0.94,-0.004773480624675457,-0.016270964314464058,-0.004773511703410214
0.95,0.95,-0.03499208846790168,,-0.034992112362566816
0.96,0.96,-0.0682484065455075,-0.03594249202683491,-0.06824845852829883
0.97,0.97,,,
0.98,0.98,,,
0.99,0.99,,,
0.1,0.2,-1.4145279210222478e-07,,-5.1371488980730044e-08
0.1,0.3,-3.5878334375202353e-07,,-2.864689329551502e-07
0.1,0.4,-6.953850165175081e-07,,-4.4053153818131673e-07
0.1,0.5,-5.836308966624319e-07,,-2.7892805244105604e-07
0.1,0.6,-9.92930577341074e-07,,-7.040942085094435e-07
0.1,0.7,-4.2431902062710716e-07,,5.1463827840103183e-08
0.1,0.8,-1.8838412235768047e-06,,-1.3634414058694477e-06
0.1,0.9,-1.0765852028389547e-06,,-5.612209760174604e-07
0.2,0.3,-6.863780544727034e-07,-1.1042372516889324e-06,-7.28293247114031e-07
0.2,0.4,-6.388059926379835e-07,,-5.304198576243647e-07
0.2,0.5,-3.948013014420825e-07,,-2.854183114741484e-07
0.2,0.6,-2.2332004335017292e-06,,-2.1431144093813867e-06
0.2,0.7,-1.0883993943904637e-06,,-1.0197261582371336e-06
0.2,0.8,-2.0160664704897297e-06,,-1.8674899857200992e-06
0.2,0.9,-3.605567743583722e-06,,-3.3059385575330963e-06
0.3,0.4,-6.982894829722621e-07,-8.405690065746646e-07,-7.228339637072981e-07
0.3,0.5,-2.3268953781321076e-06,-2.1970904381811786e-06,-2.2891594042372554e-06
0.3,0.6,-1.2993092347486808e-06,,-1.2366470856434595e-06
0.3,0.7,-3.037211112903919e-06,,-2.993840650732828e-06
0.3,0.8,-5.645662038833346e-06,,-5.554273782202502e-06
0.3,0.9,-4.948643098864509e-06,,-4.624020680386514e-06
0.4,0.5,-3.5506717054858703e-06,-2.646720559199605e-06,-3.556417985907738e-06
0.4,0.6,-5.146315107229062e-06,-3.3601066490460186e-06,-5.132214571660014e-06
0.4,0.7,-2.5748217130450043e-06,-2.4797458438674114e-06,-2.590590812254701e-06
0.4,0.8,-6.119862000325523e-06,,-6.063661888443068e-06
0.4,0.9,-6.323497284541893e-06,,-6.169701564050583e-06
0.5,0.6,-3.3462417156336294e-06,-1.0505319153837105e-05,-3.3700530184684518e-06
0.5,0.7,-1.4282420742350827e-05,-6.537237708947339e-06,-1.4272375075039075e-05
0.5,0.8,-5.636746253953252e-06,-7.260811529788752e-06,-5.6055553527052845e-06
0.5,0.9,-1.881898712881833e-05,,-1.8762680794744754e-05
0.6,0.7,-2.0277712693650256e-05,-1.8004741070490366e-05,-2.0271109873472584e-05
0.6,0.8,-4.103157378149924e-05,-1.365934324725333e-05,-4.1080717520167135e-05
0.6,0.9,-3.272988271841402e-05,,-3.264497314969715e-05
0.7,0.8,-4.951885778965121e-05,-4.1427394046821236e-05,-4.9531878431520426e-05
0.7,0.9,-6.026680975368512e-05,,-6.028648781176762e-05
0.8,0.9,-0.0002662200052277519,-0.00023175555603885186,-0.0002662134184132697
